Time,Theta_deg,Theta_dot,Sin_theta,Cos_theta,Control
0.64,-0.983245325788248,0.0137782720848918,-0.0171600263565779,0.999852776527405,-0.528623012743108
0.65,-0.991750499149823,0.0220454707741737,-0.017308447510004,0.999850213527679,-0.144057760326959
0.66,-1.00304947495252,0.0249290894716978,-0.0175056215375662,0.999846756458282,0.165005064532267
0.67,-1.00934454950738,0.024060158059001,-0.0176154747605324,0.99984484910965,-0.00408926830067113
0.68,-1.00248823885967,0.0263010878115892,-0.0174958277493715,0.999846935272217,-0.0235427783807268
0.69,-1.00522681504666,0.022785572335124,-0.0175436176359653,0.99984610080719,-0.541481235811553
0.7,-1.01406658254605,0.0191131196916103,-0.0176978763192892,0.99984335899353,-0.0225116529525172
0.71,-1.01294379009388,0.0197578277438879,-0.0176782831549644,0.999843716621399,-0.0086241049919595
0.72,-1.01480351558766,0.0178755428642035,-0.0177107360213995,0.999843120574951,-0.111969895615535
0.73,-1.02004073465353,0.0146497376263142,-0.0178021285682917,0.999841511249542,0.0689353613933966
0.74,-1.0171708508869,0.0151031352579594,-0.0177520476281643,0.999842405319214,0.181816089639385
0.75,-1.02575664594977,0.00972943194210529,-0.0179018750786781,0.999839782714844,-0.140962055531615
0.76,-1.03569152396999,0.00612883036956191,-0.018075242638588,0.999836623668671,0.246412888807193
0.77,-1.0428497782108,0.00365893659181893,-0.0182001572102308,0.999834358692169,-0.10629507363606
0.78,-1.05705638144295,-0.00040789830381982,-0.0184480678290129,0.999829828739166,-0.288823675688009
0.79,-1.07649458630606,-0.00315553369000554,-0.0187872685492039,0.999823451042175,-0.283427760306013
0.8,-1.10149481245062,-0.00653977738693357,-0.0192235261201859,0.999815165996552,0.223735221418065
0.81,-1.11458186802673,-0.00648860586807132,-0.0194518957287073,0.999810755252838,0.130372077653015
0.82,-1.12888653192411,-0.00806662626564503,-0.0197015125304461,0.999805927276611,-0.13613314134854
0.83,-1.14805137756173,-0.0105751724913716,-0.0200359355658293,0.999799251556396,-0.185262026354755
0.84,-1.16667693018258,-0.0111339455470443,-0.0203609466552734,0.999792695045471,-0.166768001246519
0.85,-1.18524130597498,-0.0102507676929235,-0.0206848885864019,0.999786078929901,0.0115150126156257
0.86,-1.20472787625447,-0.0109595097601414,-0.0210249181836843,0.999778926372528,-0.377194387663827
0.87,-1.22069438984419,-0.00871764961630106,-0.0213035251945257,0.99977308511734,-0.192024629912522
0.88,-1.23848737571348,-0.0073357755318284,-0.0216139983385801,0.99976634979248,-0.284566911511022
0.89,-1.25520220814134,-0.00601045368239284,-0.0219056587666273,0.999760031700134,-0.0409929632639758
0.9,-1.26644895721077,-0.00437414646148682,-0.02210190333426,0.999755680561066,-0.132338941983603
0.91,-1.26917578040599,-0.000550369964912534,-0.0221494846045971,0.999754667282104,-0.0434659996673187
0.92,-1.27241021241976,0.00172035547439009,-0.0222059208899736,0.999753355979919,-0.0257541172878806
0.93,-1.27794779670953,0.00154960004147142,-0.0223025474697351,0.999751269817352,-0.0841756676733775
0.94,-1.28347478723338,0.000671391491778195,-0.0223989877849817,0.99974912405014,-0.268343177359992
0.95,-1.28981909315835,0.000319357874104753,-0.0225096885114908,0.99974662065506,0.0078233917838995
0.96,-1.29197284092341,0.00108947034459561,-0.0225472692400217,0.999745786190033,-0.198373291770753
0.97,-1.2989800280474,-0.000462261465145275,-0.0226695369929075,0.999743044376373,-0.0648141500979876
0.98,-1.30259668817033,-0.00065865961369127,-0.0227326434105635,0.999741613864899,-0.0178374688251339
0.99,-1.30652064707061,-0.00180758617352694,-0.0228011105209589,0.99974000453949,-0.620425086798174
1,-1.31147531023434,-0.000308836781186983,-0.0228875633329153,0.999738037586212,0.00744707117493552
1.01,-1.31271902440047,0.00179595465306193,-0.022909265011549,0.999737560749054,-0.458776080215346
1.02,-1.31444936139312,0.00467028981074691,-0.0229394566267729,0.999736845493317,-0.249505197020492
1.03,-1.31318036083141,0.00855146814137697,-0.0229173135012388,0.999737322330475,0.0497145810479291
1.04,-1.30760050825334,0.0112685253843665,-0.0228199530392885,0.999739587306976,-0.0119312988688951
1.05,-1.30262173223051,0.0113350134342909,-0.0227330792695284,0.999741554260254,0.138807328470366
1.06,-1.29355077008573,0.011252960190177,-0.0225748028606176,0.999745190143585,-0.0920245751098315
1.07,-1.29064486743317,0.00869050156325102,-0.0225240979343653,0.999746322631836,-0.466550464219815
1.08,-1.29017048573632,0.00801652017980814,-0.0225158203393221,0.99974650144577,-0.198171932125376
1.09,-1.28780084767717,0.00912562198936939,-0.0224744733422995,0.999747455120087,-0.0901109803300259
1.1,-1.28976108108434,0.00718022091314197,-0.0225086770951748,0.999746680259705,-0.0441151233045871
1.11,-1.282687849735,0.00851878710091114,-0.0223852563649416,0.999749422073364,-0.344006278768417
1.12,-1.28372730392048,0.0073189283721149,-0.0224033948034048,0.999749064445496,-0.300324238606922
1.13,-1.28182241500056,0.00857149250805378,-0.0223701559007168,0.999749779701233,-0.000121828747055379
1.14,-1.27407125776247,0.0112527012825012,-0.0222349055111408,0.999752759933472,-0.583060024183393
1.15,-1.27094687361015,0.0138546545058489,-0.022180387750268,0.999753952026367,-0.268354655577817
1.16,-1.26289770203016,0.0185795556753874,-0.0220399387180805,0.99975711107254,-1.22597903026113
1.17,-1.26092669269195,0.0248876996338367,-0.0220055468380451,0.999757885932922,0.81096369115657
1.18,-1.24362996159382,0.0289017055183649,-0.0217037331312895,0.999764442443848,1.1914606269565
1.19,-1.21616272445996,0.0259208977222443,-0.0212244503200054,0.999774754047394,0.335511425263088
1.2,-1.20044229327302,0.016698507592082,-0.020950136706233,0.999780476093292,-0.986611091563796
1.21,-1.20374582275476,0.00941439718008041,-0.0210077818483114,0.999779284000397,0.633548985384133
1.22,-1.20641773213851,0.00259258947335184,-0.0210544057190418,0.99977833032608,-0.318085304916923
1.23,-1.21591756743622,-0.00409279810264707,-0.0212201718240976,0.999774813652039,0.15282382954476
1.24,-1.22265632875824,-0.00780157838016748,-0.0213377587497234,0.999772310256958,-0.766286591789132
1.25,-1.24471942560852,-0.0123204672709107,-0.0217227432876825,0.999764025211334,-0.688688973186228
1.26,-1.26188332038914,-0.00979228969663382,-0.0220222380012274,0.999757468700409,-0.738591376346409
1.27,-1.28606383640898,-0.00830966886132956,-0.022444162517786,0.999748051166534,-0.174665564750547
1.28,-1.27586692168685,0.00625442015007138,-0.0222662389278412,0.999752104282379,-0.718581902414333
1.29,-1.2622673623729,0.0218223296105862,-0.0220289397984743,0.999757349491119,0.252834706796363
1.3,-1.2487431732866,0.0305405482649803,-0.0217929538339376,0.99976247549057,0.31008524626666
1.31,-1.24352628510859,0.0277357157319784,-0.0217019245028496,0.999764502048492,0.671034849505958
1.32,-1.21534911245012,0.0290986727923155,-0.021210253238678,0.999775052070618,-0.0508819170350679
1.33,-1.20854907213319,0.0210859496146441,-0.0210915952920914,0.999777495861053,-0.118720803801116
1.34,-1.20191967655092,0.016161672770977,-0.0209759175777435,0.999779999256134,-0.363268976477122
